#IPA	#Arpabet50	#Arpabet39(cmudict)
ɑː	AA	AA
ɑ	AA	AA
æ	AE	AE
ʌ	AH	AH
ɔː	AO	AO
eə	AR	EH R
er	AR	EH R
aʊ	AW	AW
ə	AX	AH
a	AX	AH
ər	AXR	ER
ɚ	AXR	ER
aɪ	AY	AY
ai	AY	AY
b	B	B
tʃ	CH	CH
d	D	D
ð	DH	DH
dr	DR	D R
dz	DZ	D Z
ɜː	EE	EE
ɜ	EE	EE
əː	EE	EE
e	EH	EH
ɛ	EH	EH
ɜːr	ER	ER
ɝ	ER	ER
eɪ	EY	EY
f	F	F
g	G	G
ɡ	G	G
h	HH	HH
ɪ	IH	IH
ɪə	IR	IH AX
ɪr	IR	IH AX
iə	IR	IH AX
iː	IY	IY
i	IY	IY
ɪː	IY	IY
dʒ	JH	JH
k	K	K
l	L	L
m	M	M
n	N	N
ŋ	NG	NG
ɒ	OO	AH
ɔ	OO	AH
əʊ	OW	OW
oʊ	OW	OW
o	OW	OW
ɔɪ	OY	OY
p	P	P
r	R	R
s	S	S
ʃ	SH	SH
t	T	T
θ	TH	TH
tr	TR	T R
ts	TS	T S
ʊ	UH	UH
ʊə	UR	UH AX
ʊr	UR	UH AX
uː	UW	UW
u	UW	UW
v	V	V
w	W	W
j	Y	Y
z	Z	Z
ʒ	ZH	ZH
